id,name,content_type,codename
1,Can add log entry,Administration | log entry,add_logentry
2,Can change log entry,Administration | log entry,change_logentry
3,Can delete log entry,Administration | log entry,delete_logentry
4,Can view log entry,Administration | log entry,view_logentry
9,Can add group,Authentication and Authorization | group,add_group
10,Can change group,Authentication and Authorization | group,change_group
11,Can delete group,Authentication and Authorization | group,delete_group
12,Can view group,Authentication and Authorization | group,view_group
5,Can add permission,Authentication and Authorization | permission,add_permission
6,Can change permission,Authentication and Authorization | permission,change_permission
7,Can delete permission,Authentication and Authorization | permission,delete_permission
8,Can view permission,Authentication and Authorization | permission,view_permission
13,Can add user,Authentication and Authorization | user,add_user
14,Can change user,Authentication and Authorization | user,change_user
15,Can delete user,Authentication and Authorization | user,delete_user
16,Can view user,Authentication and Authorization | user,view_user
17,Can add content type,Content Types | content type,add_contenttype
18,Can change content type,Content Types | content type,change_contenttype
19,Can delete content type,Content Types | content type,delete_contenttype
20,Can view content type,Content Types | content type,view_contenttype
33,Can add customer,Dataentry | customer,add_customer
29,Can add customers,Dataentry | customer,add_customers
34,Can change customer,Dataentry | customer,change_customer
30,Can change customers,Dataentry | customer,change_customers
35,Can delete customer,Dataentry | customer,delete_customer
31,Can delete customers,Dataentry | customer,delete_customers
36,Can view customer,Dataentry | customer,view_customer
32,Can view customers,Dataentry | customer,view_customers
25,Can add student,Dataentry | student,add_student
26,Can change student,Dataentry | student,change_student
27,Can delete student,Dataentry | student,delete_student
28,Can view student,Dataentry | student,view_student
21,Can add session,Sessions | session,add_session
22,Can change session,Sessions | session,change_session
23,Can delete session,Sessions | session,delete_session
24,Can view session,Sessions | session,view_session
